iter	RMSE
0	7386.727268
1	6971.191042
2	6590.733046
3	6245.686943
4	5928.62181
5	5644.331216
6	5394.453879
7	5167.644788
8	4940.502574
9	4731.032339
10	4541.084563
11	4376.139271
12	4230.533874
13	4102.20846
14	3986.440211
15	3878.722245
16	3789.914999
17	3704.583917
18	3633.738229
19	3568.219164
20	3512.537596
21	3461.025963
22	3412.620739
23	3371.112213
24	3335.577584
25	3305.123914
26	3278.63312
27	3250.843549
28	3226.091398
29	3207.895969
30	3188.117487
31	3169.73924
32	3156.543897
33	3141.379976
34	3127.367313
35	3114.808913
36	3103.239152
37	3091.899697
38	3079.687021
39	3067.981473440	3059.93003441	3051.800904242	3044.838434343	3037.741184444	3031.718354545	3024.006094646	3017.050234747	3012.149664848	3004.161144949	2996.879750	50	2992.420051	51	2986.688352	52	2982.17953	253	2976.24154	254	2972.72255	255	2968.43456	256	2966.11157	2956.03499
58	2958	2956.9559	2948.967777
60	2945.796589
61	2961	2944.8562	2962	2940.7363	263	2936.47964	264	2933.00165	265	2929.22466	266	2926.59567	267	2924.17368	268	2921.74269	269	2919.8470	2970	2917.6571	2971	2915.8772	2972	2913.4373	2973	2910.7974	2974	2908.6875	2975	2905.5276	2976	2903.7377	2977	2900.0778	2978	2897.879	28979	2896.480	28980	2894.781	28981	2892.882	28982	2891.283	28883	2889.984	28884	2888.285	28885	2886.86	288486	2884.87	288287	2883.88	288088	2881.89	287789	2880.90	287590	2878.91	287491	2877.92	287192	287393	2869.93	287194	286994	2871.95	286795	287096	2866.96	286997	286397	2867.98	286298	2866.99	2861.125851
100	2858.817153
101	285101	2862.102	285102	2860.103	285103	2859.104	285104	2857.105	285105	2856.106	284106	2854.107	2848.371899
108	284108	2852109	2845.665889
110	2844.266663
111	2842.824716
112	2841.920439
113	2841.011975
114	2840114	2845115	2837115	2845116	2836.6768
117	2835.254183
118	2834.2118	28119	2833.4119	28120	2832.6120	28121	2831.4121	28122	2830.8122	28123	2830.1123	28124	2829.124	283125	2828.125	283126	2827.126	283127	2826.127	2831.983209
128	2830.889242
129	2830.267152
130	2829.870344
131	2828.121291
132	2828.119499
133	2827.595397
134	2826.286627
135	2824.767454
136	2823.843278
137	2823.02608
138	2823139	2817139	2822140	2816140	2821141	2815141	2820142	2814142	2819143	281143	2819.144	281144	2818.145	281145	2818.146	281146	2817.147	281147	2816.148	2148	2815.23149	2149	2814.84150	2150	2813.97151	2151	2813.54152	2152	2812.90153	2153	2812.51154	2154	2811.80155	2155	2811.38156	2156	2810.91157	2157	2809.71158	2158	2808.91159	2159	2808.61160	2160	2808.21161	2161	2808.01162	2162	2807.31163	2163	2807.11164	2798.7442741165	2798.0173851166	2797.7615741167	2796.0420991168	2795.4780716169	2793.8325917170	2792.7355817171	2791.9092172172	2791.4051173173	2790.3684174174	2789.5246175175	2789.1191176176	2788.6711177177	2788.0501178178	2787.822179	179	2786.540180	180	2785.10181	2181	2784.30182	2182	2783.9183	27183	2783.3184	27184	2782.8185	27185	2782.5186	27186	2781.187	277187	2780.188	277188	2779.189	277189	2779.190	277190	2778.191	277191	2778.192	2771.28071
193	2770193	2778194	277194	2777.195	277195	2776.196	276196	2776.197	276197	2775.198	276198	2775.199	276199	2774.200	276200	2774.201	276201	2773.202	276202	2773.203	276203	2772.204	2764.592781
205	276205	2771.206	2763.42963
207	2763207	2769208	2762.862275
209	2762.526588
210	2762.035865
211	2761211	276212	2761.212	276213	2760.213	276214	2760.283365
215	2760.18647
216	2759.881173
217	2758.671995
218	2757.845394
219	2757.120623
220	2756.499059
221	2756.190049
222	2755.998923
223	2755.723595
224	2755.367778
225	2755.019651
226	2754.119199
227	2753.906779
228	2753.284031
229	2752.436971
230	2751.97204
231	2751.763048
232	2751.180977
233	2750.673834
234	2750.232639
235	2749.960555
236	2749.683082
237	2749.167842
238	2748.765479
239	2748.347457
240	2747.610793
241	2746.951239
242	2746.754952
243	2746.258754
244	2745.847076
245	2745.268456
246	2745.02541
247	2744.538295
248	2744.30523
249	2743.891762
250	2743.16433
251	2742.961749
252	2742.555943
253	2742.351001
254	2741.830367
255	2741.307346
256	2740.708652
257	2740.358769
258	2739.801556
259	2739.674134
260	2739.484714
261	2739.348531
262	2738.824302
263	2738.477164
264	2738.350385
265	2737.982511
266	2737.227752
267	2736.759297
268	2736.105561
269	2735.815365
270	2735.455969
271	2735.337152
272	2734.791328
273	2734.289023
274	2733.85501
275	2733.443165
276	2733.209225
277	2732.808086
278	2732.408407
279	2731.773306
280	2731.287966
281	2731.035024
282	2730.66089
283	2730.08115
284	2729.157667
285	2728.959479
286	2728.882456
287	2728.614104
288	2728.325462
289	2727.403303
290	2727.109358
291	2726.718017
292	2725.999355
293	2725.653844
294	2725.324878
295	2724.999011
296	2724.494088
297	2724.174065
298	2724.049579
299	2723.764723
300	2723.208593
301	2722.782227
302	2722.093796
303	2721.553137
304	2721.174111
305	2720.909943
306	2720.437167
307	2720.244041
308	2719.960006
309	2719.227991
310	2719.039825
311	2718.837515
312	2718.374985
313	2717.688021
314	2717.360594
315	2716.847927
316	2716.263675
317	2715.720311
318	2715.443108
319	2714.967497
320	2714.731152
321	2714.556728
322	2714.154595
323	2713.882882
324	2713.443476
325	2713.063661
326	2712.972173
327	2712.818154
328	2712.460404
329	2712.32782
330	2711.88901
331	2711.821484
332	2711.150515
333	2710.455672
334	2710.272389
335	2709.821055
336	2709.585735
337	2709.163959
338	2708.709399
339	2708.391089
340	2708.328258
341	2707.862963
342	2707.371338
343	2707.213774
344	2706.713566
345	2706.230123
346	2705.695064
347	2705.06624
348	2704.556664
349	2704.101726
350	2704.04582
351	2703.545909
352	2702.897415
353	2702.44304
354	2702.147877
355	2701.914709
356	2701.372572
357	2700.995945
358	2700.83151
359	2700.330229
360	2699.953702
361	2699.743171
362	2699.53074
363	2699.245008
364	2699.056339
365	2698.788501
366	2698.331863
367	2698.079413
368	2697.762854
369	2697.681481
370	2697.151773
371	2697.082567
372	2696.878822
373	2696.557585
374	2696.108169
375	2695.559338
376	2694.932888
377	2694.68584
378	2694.339668
379	2694.166413
380	2693.682423
381	2693.438051
382	2693.297151
383	2692.686094
384	2692.437491
385	2691.920226
386	2691.721101
387	2691.471041
388	2691.256469
389	2690.720925
390	2690.150356
391	2689.799563
392	2689.29056
393	2689.085808
394	2688.876601
395	2688.809302
396	2688.6372
397	2688.291369
398	2688.211929
399	2687.939272
400	2687.752643
401	2687.54183
402	2687.104122
403	2686.770557
404	2686.279972
405	2686.006424
406	2685.763514
407	2685.491037
408	2685.367329
409	2684.917556
410	2684.628239
411	2684.570002
412	2684.257342
413	2683.822877
414	2683.514156
415	2683.323139
416	2682.944297
417	2682.61163
418	2682.341819
419	2681.742238
420	2681.461337
421	2681.27961
422	2681.048165
423	2680.858718
424	2680.761845
425	2680.644417
426	2680.288275
427	2679.895642
428	2679.754206
429	2679.275839
430	2678.974924
431	2678.632831
432	2678.418834
433	2677.927279
434	2677.760258
435	2677.46006
436	2677.133336
437	2677.033129
438	2676.553633
439	2676.266792
440	2676.124172
441	2675.698728
442	2675.418973
443	2675.092236
444	2674.919625
445	2674.73555
446	2674.592491
447	2674.31564
448	2674.094062
449	2674.060512
450	2673.72908
451	2673.341472
452	2672.886842
453	2672.594983
454	2672.306522
455	2671.921019
456	2671.671838
457	2671.435118
458	2671.163382
459	2670.629663
460	2670.52132
461	2670.440552
462	2670.306505
463	2670.151557
464	2670.061793
465	2669.61803
466	2669.436896
467	2669.202767
468	2668.992776
469	2668.564578
470	2668.368234
471	2667.95548
472	2667.719207
473	2667.475667
474	2667.254194
475	2666.972462
476	2666.655132
477	2666.2846
478	2665.850019
479	2665.685013
480	2665.564146
481	2665.299839
482	2665.158365
483	2664.993246
484	2664.863181
485	2664.620639
486	2664.582659
487	2664.407792
488	2664.277499
489	2664.228708
490	2664.037715
491	2663.916791
492	2663.82457
493	2663.33004
494	2663.113849
495	2662.942683
496	2662.72475
497	2662.479818
498	2662.303448
499	2662.210565
500	2662.148131
501	2661.931621
502	2661.839231
503	2661.692773
504	2661.266174
505	2661.080426
506	2660.968896
507	2660.612179
508	2660.530273
509	2660.469136
510	2660.383087
511	2660.077392
512	2659.967348
513	2659.81722
514	2659.555345
515	2659.381476
516	2659.223509
517	2659.14803
518	2659.021221
519	2658.884063
520	2658.777817
521	2658.647404
522	2658.611749
523	2658.152915
524	2658.092574
525	2657.86695
526	2657.624305
527	2656.906221
528	2656.663867
529	2656.525968
530	2656.45131
531	2656.227638
532	2656.115598
533	2655.855228
534	2655.578131
535	2655.525519
536	2655.222337
537	2654.981203
538	2654.679614
539	2654.4425
540	2654.431366
541	2654.189777
542	2654.061129
543	2653.734508
544	2653.473878
545	2653.336178
546	2653.201573
547	2653.005285
548	2652.799302
549	2652.608505
550	2652.363658
551	2652.248525
552	2652.118243
553	2651.821608
554	2651.768155
555	2651.481929
556	2651.367318
557	2650.952701
558	2650.826604
559	2650.638964
560	2650.568638
561	2650.207902
562	2649.947511
563	2649.878527
564	2649.743692
565	2649.529978
566	2649.257869
567	2649.246948
568	2648.719643
569	2648.593437
570	2648.329534
571	2648.101994
572	2647.571544
573	2647.426952
574	2647.108212
575	2646.965626
576	2646.581231
577	2646.503682
578	2646.288751
579	2646.22272
580	2645.836428
581	2645.743053
582	2645.576702
583	2645.32469
584	2645.061654
585	2644.896141
586	2644.553631
587	2644.259289
588	2644.140395
589	2644.011801
590	2643.931578
591	2643.73362
592	2643.487681
593	2643.134006
594	2642.994127
595	2642.938823
596	2642.866898
597	2642.767702
598	2642.639482
30404
194
598	2651.5555
